,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors
1129,Shenzhen International Film & Tape Exhibition focuses on the application of films and tapes and focuses on the display of materials and equipment and technologies in various functional films and adhesive products. The exhibition will bring together well-known domestic and foreign brands from countries and regions around the world.,2018-11-24,500,22.530732,114.059951,"Fuhua 3rd Rd FuTian CBD Futian Qu Shenzhen Shi Guangdong Sheng China 518000, Shenzhen, China",Shenzhen International Film & Tape Exhibition,2018-11-22,Trade Show,20000
1130,"Business Career Expo provides opportunities to meet employers that come to campus to recruit students and alumni for jobs and internships. Even if you are not ready to apply for a job or an internship now, you can still start to prepare for networking with recruiters and learning about upcoming opportunities and requirements.",2019-03-07,145,33.88177,-117.888414,"800 N State College Blvd, Fullerton, CA 92831, Fullerton, USA",Business Career Expo,2019-03-07,Trade Show,35000
1131,"The Successful Medical Writing combines lectures with practical exercises to provide a thorough introduction to the basics of medical writing that goes beyond the usual AC/a,!EoeoverviewAC/a,!a,,C/ courses. It will provide in-depth training in general writing and data presentation skills, and specifically in the kind of documents most frequently encountered in clinical research. Participants will learn both the theoretical and practical aspects of writing for regulatory authorities as well as the sensible use of international guidelines, standards, and useful writing tips.",2019-05-23,50,51.496,-0.170317,"11 Thurloe Pl, Kensington, London SW7 2RS, London, UK",Successful Medical Writing,2019-05-21,Conference,-1
1132,"Basketball Career Conference will provide a platform to develop authentic connections with basketball industry experts, gain insight into the latest trends in marketing, scouting, agency, and analytics, discover who is hiring and what you need to know to get hired, receive career guidance from basketball insiders, and learn strategies to catapult your basketball career to the next level.",2019-07-07,50,36.090289,-115.174297,"3960 S Las Vegas Blvd, Las Vegas, NV 89119, Las Vegas, USA",Basketball Career Conference,2019-07-06,Conference,-1
1133,"The Government and Business Leading CEO conference will cover topics like Customer Care Services, Modern Management and Leadership, Modern Global Leadership and Institutional Trends, The Government Organizations Future Trends, The Future of Government Organizations Services Competitiveness and CEOs Responsibilities, Improving and Developing the Organizational BPM etc.",2018-04-05,50,25.0750095,55.1887608818,"Dubai, UAE",Government and Business Leading CEO Conference,2018-04-05,Conference,-1
1134,"The Managing Tenders, Specifications & Contracts highlights the use of different procurement strategies, best practice in the procurement process, key issues in developing tender documentation, principal contractual liability issues, ways to manage performance failures, managing claims and resolving disputes, and much more.",2018-03-08,50,25.0750095,55.1887608818,"Dubai, UAE","Managing Tenders, Specifications & Contracts",2018-03-04,Conference,-1
1135,"This Summit brings together the senior stakeholders from the biggest clubs, associations, athletes, broadcasters and brands alongside the leaders in technology, innovation and big data to identify how to activate, apply and monetise immersive tech in the sports arena.",2018-11-14,12,37.789844,-122.421925,"1500 Van Ness Ave San Francisco CA 94109, San Francisco, USA",Annual Immersive Technology in Sports & Entertainment Summit,2018-11-13,Conference,-1
1136,"It aims to provide a forum for researchers, practitioners, and professionals from both the industry and the academia to share their newest research findings and results. ICSCT is also the annual meeting of JCP editorial board, so it also serves to bring authors and editors of JCP together to communciate face to face and discuss chances for possible cooperation.",2019-04-07,-1,22.350627,114.1849161,"Hong Kong, Hong Kong",International Conference on Software and Computing Technologies,2019-04-05,Conference,-1
1137,"FRO West Mumbai event provides a platform for highly evolved prospects & qualified investors and entrepreneurs from across India, neighbouring countries and delegations from the other parts of the world to meet face-to-face with some of the most accomplished Business Ideas, attend unparelled Business Summits & Seminars and learn more about India & fast growing MSME industry in India. In case you are presenting franchises, licenses, business possibilities in franchising, retail or commercial enterprise start up a this is the precise platform so as to meet new enterprise prospects.",2019-05-26,500,19.151349,72.855393,"NSE Nesco Complex Off Western Express Highway NESCO Goregaon East Mumbai Maharashtra 400063 India, Mumbai, India",FRO West Mumbai,2019-05-25,Trade Show,200000
1138,"Outpacing and outperforming in the A.I. era will be easier than you have ever thought possible at ""ROBOT X,"" the most comprehensive series of events on industrial robots in ASEAN. ROBOT X will transfer new powers to transform manufacturing in the hearts of emerging industrial cities, the hottest markets in region. The buyers will experience capabilities beyond imagination from more than 30 brands of industrial robots from around the world, complete with System Integrators, tools, and solutions from leading international brands as well as in-depth ""A.I. Forum"" seminar and endless opportunities. Come lead the changes at ""ROBOT X.""",2018-08-10,100,21.021694,105.844564,"91 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Hanoi, Vietnam",Robot X Hanoi,2018-08-08,Trade Show,7933
1139,"Argus Methanol and MTBE Asia includes Asia and international Methanol producers, leading engineering companies and equipment suppliers, representatives of consuming industries and scientific organizations. We invite you to join the Conference participants to discuss the key issues of the industry.",2019-06-26,-1,1.3408528,103.8784468637,"Singapore, Singapore",Argus DeWitt MTBE and Methanol conference,2019-06-25,Conference,-1
1140,SuperReturn Private Credit Europe will provide you with the platform to connect with so many senior decision-makers. It will offer you the opportunity to connect investors in private credit.,2019-05-14,500,51.504625,-0.081436,"5 More London Place, Tooley Street, London SE1 2BY, London, UK",SuperReturn Private Credit Europe,2019-05-13,Trade Show,5000
1141,"International VAT Association Athens Conference is the worldas leading independent body on international VAT issues, representing the interests of businesses and advisers involved in VAT or equivalent turnover taxes around the globe. It is unique in that it provides to its members a forum for exchanges, through its website, LinkedIn Group and via regular conferences held in different locations around the world.",2019-10-18,50,37.967713,23.73237,"Athanasiou Diakou 28, Athens, Greece 117 43, Greece, Athens, Greece",International VAT Association Athens Conference,2019-10-17,Conference,-1
